Name,State,TLA,Altitude,Longitude,Latitude,WMO_site,BOM_site,POA,sam_created
Geelong (Breakwater),VIC,GW,35.0,144.4,-38.2,94857,87184,,True
Hamilton Airport,VIC,HM,242.0,142.1,-37.7,94829,90173,,True
Horsham Aerodrome,VIC,HS,134.0,142.2,-36.7,95839,79100,,True
Kilmore Racecourse,VIC,KM,528.0,145.0,-37.4,94860,88107,,True
Kyabram,VIC,KY,104.0,145.1,-36.3,95833,80091,,True
Laverton RAAF,VIC,LR,20.0,144.8,-37.9,94865,87031,,True
Mallacoota,VIC,MC,22.0,149.7,-37.6,94935,84084,,True
Mangalore Airport,VIC,MF,141.0,145.2,-36.9,94874,88109,,True
Mount Buller,VIC,MB,1707.0,146.4,-37.2,94894,83024,,True
Port Fairy AWS,VIC,PF,10.0,142.2,-38.4,94830,90175,,True
Portland (Cashmore Airport),VIC,C2,82.0,141.5,-38.3,94828,90171,,True
Rhyll,VIC,RH,14.0,145.3,-38.5,94892,86373,,True
Rutherglen Research,VIC,RU,175.0,146.5,-36.1,95837,82039,,True
Scoresby Research Inst,VIC,SB,90.0,145.3,-37.9,95867,86104,,True
Shepparton Airport,VIC,SP,114.0,145.4,-36.4,94875,81125,,True
Stawell Aerodrome,VIC,ST,235.0,142.7,-37.1,94836,79105,,True
Swan Hill Aerodrome,VIC,SA,71.0,143.5,-35.4,94843,77094,,True
Wangaratta Aero,VIC,WT,153.0,146.3,-36.4,94889,82138,,True
Lake Argyle Resort,WA,LA,165.0,128.5,-16.6,94217,2064,,True
Badgingarra Research Stn,WA,BG,275.0,115.5,-30.3,94603,9037,,True
Busselton Aero,WA,B8,17.0,115.4,-33.7,95611,9603,,True
Cape Leeuwin,WA,LW,14.0,115.1,-34.4,94601,9518,,True
Cape Naturaliste,WA,NT,110.0,115.0,-33.5,94600,9519,,True
Derby (Curtin Aero),WA,DC,78.0,123.8,-17.6,94204,3080,,True
Dwellingup,WA,DW,268.0,116.1,-32.7,94620,9538,,True
Eucla,WA,EU,102.0,128.9,-31.7,94647,11003,,True
Fitzroy Crossing Aero,WA,FC,115.0,125.6,-18.2,94206,3093,,True
Gingin Aero,WA,GG,75.0,115.9,-31.5,95612,9178,,True
Jandakot Aero,WA,JK,31.0,115.9,-32.1,94609,9172,,True
Laverton Aero,WA,LV,465.0,122.4,-28.6,94449,12305,,True
Morawa Airport,WA,M2,272.0,116.0,-29.2,94417,8296,,True
Perth Metro,WA,PH,25.0,115.9,-31.9,94608,9225,,True
